item,projeto_id_fiotec,titulo_projeto,objetivo_geral,coordenador_geral,coordenacao,numero_processo,tipo_instrumento_contratual,parceiro,categoria_teds,numero_instrumento_contratual,natureza_projeto,data_inicio_vigencia,data_fim_vigencia,eixo_mapa_estrategico_fiocruz,valor_total_projetos,recurso_liberado,recurso_a_receber,total_realizado,total_comprometido,saldo_total_atual,saldo_calculado,diferenca_saldo,percentual_realizado_sobre_liberado,percentual_receber_sobre_total
1,GEREB-005-FEX-20,"Saúde Digital Para O Enfrentamento Da Covid-19 Nos Territõrios Do Distrito Federal (Fap, Fiotec. Fiocruz)","Apoiar A Execução E O Desenvolvimento De Projetos E Ações De Pesquisa, Inovação E Extensão Voltadas Para:  I) O Desenvolvimento E Incorporação De Tecnologias Digitais Para O Diagnóstico, O Tratamento Da Infecção Causada Pelo Covid-19 E A Prevenção Com Maior Precisão Das Ações De Contenção Do Surto Nos Territórios; Ii) Capacitação Da Força De Trabalho Para Atuar No Ambiente De Saúde Digital E, Iii) Fomento Da Rede Cooperativa De Ciência E Tecnologia Da Cadeia De Inovação Digital Do Df Para O Desenvolvimento De Pesquisas Tecnológicas De Enfrentamento De Doenças Infectocontagiosas, Contribuindo Para A Cooperação Entre A Fiocruz, A Secretaria De Estado De Saúde Do Distrito Federa, A Fap/Df E Outros Parceiros.",Wagner de Jesus Martins,COLABORATÓRIO,25027.000032/2020-90,CONVÊNIO PD&I,FAP/DF,,59/2020,Desenvolvimento Científico E Tecnológico,2020-06-01,2026-06-27,Inovação E Complexo Produtivo Em Saúde,10000000.0,12532089.71,0.0,10096134.53,261666.75,2174288.43,2174288.43,0.0,80.56,0.0
2,GEREB-007-FIO-20,Fortalecimento Da Vigilância Das Infecções Crônicas E Sexualmente Transmissíveis Na Atenção À Saúde.,"Estabelecer Mecanismos De Coordenação Para Integração Das Ações De Vigilância E Cuidado, No Âmbito Das Redes De Atenção, Com Vistas A Ampliar A Resposta Às Doenças Transmissíveis De Condições Crônicas E Infecções Sexualmente Transmissíveis (Ist).",Noely Fabiana Oliveira De Moura,NEVS,25027.000047/2020-58,TED,MINISTÉRIO DA SAÚDE,TED MS,49/2020,Desenvolvimento Científico E Tecnológico,2020-07-29,2026-07-02,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",35000000.0,37759567.41,0.0,34793040.61,2099887.13,866639.67,866639.67,0.0,92.14,0.0
3,GEREB-008-FIO-20,"Gestão E Governança No Campo Da Ciência, Tecnologia E Inovação Em Saúde (Ct&Is)","Contribuir Para A Produção De Conhecimento E Para O Desenvolvimento De Capacidades E Ferramentas Atrelados Ao Aprimoramento Da Gestão E Ao Aumento Da Capacidade De Governança No Campo Da Ciência, Tecnologia E Inovação Em Saúde (Ct&Is).",José Antonio Silvestre Fernandes Neto,ASSESSORIAS,25027.000046/2020-11,TED,MINISTÉRIO DA SAÚDE,TED de SUPORTE,50/2020,Pesquisa,2020-08-12,2026-08-05,"Ciência, Tecnologia, Saúde E Sociedade",31103328.0,31199512.85,2500000.0,31130699.28,96560.4,-27746.83,-27746.83,0.0,99.78,8.04
4,GEREB-022-FIO-20,Educação Para O Desenvolvimento Dos Servidores Públicos Federais Do Ministério Da Saúde.,"Promover O Desenvolvimento De Pessoas, De Acordo Com O Plano De Desenvolvimento De Pessoas (Pdp) Do Ministério Da Saúde (Ms), Por Meio De Atividades Educacionais.",Luciana Sepúlveda Köptcke,EGF,25027.000200/2020-47,TED,MINISTÉRIO DA SAÚDE,TED MS,109/2020,Ensino,2020-12-29,2026-12-01,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",4291963.0,4509934.8,41292.0,4198991.19,257307.0,53636.61,53636.61,0.0,93.11,0.96
5,GEREB-013-FIO-21,Gestão Estratégica Para Acesso E Qualidade Da Assistência Farmacêutica No Sus.,Contribuir Com As Ações Que Visam A Efetividade Da Gestão Estratégica E Para O Aperfeiçoamento Da Assistência Farmacêutica No Sus.,Daniella Cristina Rodrigues Pereira,CPP,25027.000166/2021-91,TED,MINISTÉRIO DA SAÚDE,TED de SUPORTE,52/2021,Extensão,2021-12-10,2026-11-30,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",55407026.0,59200857.59,0.0,55240431.98,5493588.09,-1533162.48,-1533162.48,0.0,93.31,0.0
6,GEREB-009-FEX-22,Supervisão Clínico-Institucional Às Equipes Dos Centros De Atenção Psicossocial (Caps) Do Distrito Federal (Df),"Qualificar As Ações Ofertadas Pelos Serviços De Saúde Mental, Álcool E Outras Drogas No Df Por Meio Da Supervisão Clínico- Institucional Com Vistas À Minimização Dos Impactos Relacionados À Espin Decorrente Da Covid-19, Conforme Orientações Da Art. 2º Portaria Gm/Ms Nº 3.350, De 8 De Dezembro De 2020.",André Vinícius Pires Guerrero,NUSMAD,25027.000096/2021-71,CONVÊNIO PD&I,SES/DF,,57/2022,Estímulo À Inovação,2022-06-02,2027-06-02,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",4117133.33,2284017.63,1991646.0,2196926.98,9600.0,77490.65,77490.65,0.0,96.19,48.37
7,GEREB-010-FEX-22,Oferta Do Curso De Especialização Em Medicina De Família E Comunidade,"Cooperação Técnica E Científica Entre Os Parceiros Para Desenvolver O Projeto ""Oferta De Curso De Especialização Em Medicina De Família E Comunidade"", Na Modalidade De Educação À Distância (Ead), Em Seus Componentes De Ensino, Supervisão E Avaliação, Destinado Aos Médicos, Realizando Formação Em Medicina Da Família E Comunidade (Mfc),No Âmbito Do Programa Médicos Pelo Brasil (Pmpb).",Kellen Cristina Da Silva Gasque,UNASUS,25027.000080/2022-40,CONVÊNIO PD&I,ADAPS,,70/2022,Estímulo À Inovação,2022-06-08,2026-08-08,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",37071299.38,38747978.98,0.0,38441183.33,35981.61,270814.04,270814.04,0.0,99.21,0.0
8,GEREB-021-FIO-22,"Aprimoramento, Qualificação E Gestão De Vigilância Laboratorial","Elaboração E Desenvolvimento De Ações E Estratégias Volt Adas À Estruturação, Qualificação E Melhoria De Gestão Do Componente Laboratorial Da Vigilância Em Saúde.",Noely Fabiana Oliveira De Moura,NEVS,25027.000089/2022-51,TED,MINISTÉRIO DA SAÚDE,TED MS,25/2022,Desenvolvimento Científico E Tecnológico,2022-09-02,2026-07-20,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1500000.0,1587336.02,0.0,1563874.88,23445.0,16.14,16.14,0.0,98.52,0.0
9,GEREB-024-FIO-22,Programa De Formação A Distância Destinado A Profissionais E Gestores Do Setor De Saúde Que Atuam Nas Políticas De Promoção De Equidade Em Saúde.,"Desenvolver Um Programa Educacional À Distância Pelo Sistema Una-Sus Destinado A Profissionais E Gestores Do Setor De Saúde Voltado Para As Seguintes Políticas De Equidade Em Saúde:  I)Da População Negra; Ii)Das Pessoas Com Albinismo; Iii)Da População Quilombola; Iv)Do Povo Cigano/Romani; V)De Adolescentes Em Conflito Com A Lei; Vi)De Imigrantes, Refugiados E Apátridas; Vii)Das Populações Itinerantes; Viii)Dos Direitos Humanos E Saúde; E Ix)Da Gestão E Implantação De Políticas De Equidade No Sus.",Kellen Cristina Da Silva Gasque,UNASUS,25027.000081/2022-94,TED,MINISTÉRIO DA SAÚDE,TED MS,14/2022,Ensino,2022-09-15,2027-02-04,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",2826360.0,3110620.46,0.0,2594849.9,64510.4,451260.16,451260.16,0.0,83.42,0.0
10,GEREB-001-FIO-23,Apoio Ao Monitoramento E Avaliação Do 1° Ciclo Formativo Dos Programas De Provimento De Profissionais De Saúde Do Ministério Da Saúde,"Desenvolver Pesquisas E Soluções De Apoio À Gestão, De Forma A Dar Continuidade Às Ações Da Se/Una-Sus Visando Ao Monitoramento E Avaliação Do 1º Ciclo Formativo Dos Participantes Dos Programas De Provimento De Profissionais De Saúde Do Ms (Ppps).",Kellen Cristina Da Silva Gasque,UNASUS,25027.000362/2022-47,TED,MINISTÉRIO DA SAÚDE,TED MS,79/2022,Ensino,2023-01-06,2027-06-14,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",3500000.0,3176728.27,527815.0,3025326.49,149931.71,1470.07,1470.07,0.0,95.23,15.08
